ID,t0,t,x,y,z,FI,TL
6416,44,71,429.3396,577.95825,104.71193,476.2,37
6416,44,72,428.07214,578.5325,104.64547,483.5,37
6416,44,73,428.8681,578.7257,104.17428,474.0,37
6416,44,74,429.76627,580.03156,102.60604,482.0,37
6416,44,75,428.86993,579.8093,104.06507,431.2,37
6416,44,76,429.69293,580.3056,102.71216,480.0,37
6416,44,77,428.41574,580.0254,103.93383,543.0,37
6416,44,86,432.67847,580.62787,99.098206,383.8,37
6416,44,88,431.24432,580.499,97.01842,350.5,37
6416,44,89,432.27316,580.6319,98.23408,362.5,37
6416,44,90,432.7612,580.152,99.59681,421.5,37
6416,44,91,432.17755,580.72595,96.84282,376.2,37
6416,44,94,432.83148,581.2334,97.817444,372.0,37
6416,44,95,430.9624,579.2052,105.16353,435.5,37
6922,49,49,386.52512,579.51245,87.490814,293.5,37
6922,49,50,386.48914,580.06757,87.283875,372.0,37
6922,49,51,386.98273,579.95404,87.65319,344.2,37
6922,49,52,387.44144,579.7327,87.98848,300.5,37
6922,49,53,386.45337,580.11884,87.30602,285.5,37
6922,49,54,386.95532,579.58905,87.66678,349.5,37
6922,49,55,387.0417,579.39435,89.60611,283.2,37
6922,49,59,386.548,579.9073,86.71738,320.2,37
6922,49,60,386.18472,579.62555,87.5052,296.2,37
6922,49,61,386.50043,579.274,86.24785,317.2,37
6922,49,62,386.57922,578.49036,85.415085,340.0,37
6922,49,63,387.04523,578.49927,85.71711,345.5,37
6922,49,64,386.0706,578.0276,85.34074,340.0,37
6922,49,65,386.871,578.391,84.32865,342.8,37
6922,49,66,386.14227,578.37897,84.99786,335.2,37
6922,49,67,386.70398,579.0991,84.817314,412.0,37
6922,49,68,386.2258,579.0925,84.72209,356.8,37
6922,49,69,387.2525,578.68164,85.490944,323.2,37
6922,49,70,387.9467,578.2949,86.3095,327.8,37
6922,49,71,387.1287,578.1678,85.56301,332.0,37
6922,49,72,387.15988,578.7,85.29021,303.0,37
6922,49,73,386.95023,578.4156,84.90828,271.0,37
6922,49,74,386.03195,578.65454,84.991264,297.0,37
6922,49,75,386.48654,578.2675,85.20664,263.5,37
6922,49,76,386.707,578.9176,84.842186,286.5,37
6922,49,77,386.56927,578.66626,84.97894,274.8,37
6922,49,78,386.73926,578.1265,84.52711,315.0,37
6922,49,79,386.88882,579.3651,84.13664,326.8,37
6922,49,80,386.40347,578.5925,84.48209,343.8,37
6922,49,81,387.03278,578.9495,85.49978,331.5,37
6922,49,82,387.1762,578.8714,85.51065,391.5,37
6922,49,83,387.18057,578.72473,85.29999,360.2,37
6922,49,84,387.46527,578.463,85.2576,347.0,37
6922,49,85,387.4865,578.31616,85.02017,354.0,37
6922,49,86,387.1542,578.13055,84.20514,323.2,37
6922,49,87,387.95325,577.79333,85.1541,354.0,37
6922,49,88,387.31284,577.1706,84.73017,314.0,37
7547,54,54,588.99854,643.52014,163.56094,232.8,37
7547,54,64,576.89545,648.9993,165.88939,324.5,37
7547,54,65,576.398,649.342,165.7673,377.0,37
7547,54,66,575.60876,649.51086,166.02806,420.0,37
7547,54,67,575.34485,650.185,165.68503,363.2,37
7547,54,68,574.91425,649.844,165.43324,397.2,37
7547,54,69,574.96924,649.77045,165.43504,445.5,37
7547,54,70,575.12213,649.8019,165.58797,457.2,37
7547,54,71,574.96765,649.9264,165.57967,406.0,37
7547,54,72,575.56665,650.7332,165.64937,441.2,37
7547,54,73,575.25555,650.9475,165.28407,459.0,37
7547,54,74,575.4909,651.36523,165.19983,449.5,37
7547,54,75,575.0645,651.12933,165.48135,475.0,37
7547,54,76,575.6401,651.4539,165.65689,471.2,37
7547,54,77,575.54266,652.27484,165.55254,501.5,37
7547,54,78,575.5611,652.8677,165.33823,535.5,37
7547,54,79,575.4575,652.58746,165.48979,495.0,37
7547,54,80,575.2917,653.0903,165.28941,548.5,37
7547,54,81,575.3782,653.1018,165.19153,533.0,37
7547,54,82,575.5008,653.5793,165.46089,612.0,37
7547,54,83,575.61597,653.1526,165.18008,556.0,37
7547,54,84,575.03674,653.3842,165.00302,509.0,37
7547,54,85,575.2711,653.91876,165.22572,583.5,37
7547,54,86,575.08325,654.33966,165.36748,578.0,37
7547,54,87,574.50653,654.2266,165.4639,476.5,37
7547,54,88,574.9704,654.8152,165.39438,482.5,37
7547,54,89,574.3769,655.3833,165.29866,509.2,37
7547,54,90,574.08386,655.7952,165.56203,450.8,37
7547,54,91,576.6382,658.60596,166.0149,360.0,37
7547,54,92,577.1301,658.9449,166.26544,366.5,37
7547,54,93,576.5741,659.80853,165.6941,443.2,37
7547,54,94,576.7243,660.712,165.8063,393.5,37
7547,54,95,575.13934,660.8827,165.77666,415.8,37
7547,54,96,575.5726,661.4667,165.88338,423.2,37
7547,54,97,575.4367,661.84955,165.36375,453.5,37
7547,54,98,575.5358,662.01776,165.31912,474.2,37
7547,54,99,575.0426,663.1024,165.15294,478.8,37
7777,55,55,283.6148,175.3971,14.973703,488.0,37
7777,55,56,283.385,174.33122,15.404981,450.8,37
7777,55,57,283.17328,175.45877,14.515785,498.8,37
7777,55,58,283.41837,174.60715,14.730763,446.8,37
7777,55,59,284.0939,172.76816,15.128377,459.5,37
7777,55,60,283.78046,175.4131,15.049697,356.2,37
7777,55,61,283.8967,176.55301,14.541406,314.8,37
7777,55,67,283.92084,176.72589,16.582485,255.8,37
7777,55,68,284.46637,177.46216,15.473719,260.2,37
7777,55,69,284.0574,177.74661,16.027514,245.2,37
7777,55,72,282.94568,169.84758,14.627579,424.2,37
7777,55,73,282.9389,169.83397,14.633399,437.0,37
7777,55,74,283.30597,170.27086,14.572882,386.2,37
7777,55,75,283.2732,169.94176,14.676851,341.5,37
7777,55,76,282.2901,170.47726,14.10444,401.2,37
7777,55,77,283.51083,171.13179,14.51104,360.0,37
7777,55,78,283.5276,171.72458,14.739586,309.5,37
7777,55,79,284.23465,172.19962,15.521523,294.0,37
7777,55,80,284.3491,171.75264,15.586706,290.2,37
7777,55,81,284.17972,171.7933,15.240012,289.5,37
7777,55,82,283.953,171.77663,15.549615,296.0,37
7777,55,83,284.67374,172.19467,15.469028,301.8,37
7777,55,84,284.4924,172.04236,16.067678,320.2,37
7777,55,85,284.86636,172.06726,15.86415,286.5,37
