ID (CME),ID (Dino),Track Length (CME),Track Length (Dino),Match,Identical Match
[1103.0],[315.0 382.0 383.0 6491.0],[29.0],[25.0 32.0 37.0 75.0],False,False
[1104.0],[1342.0 2459.0],[29.0],[7.0 40.0],True,False
[1106.0],[1297.0 1327.0 1423.0 4371.0 6814.0 6973.0],[29.0],[4.0 14.0 21.0 23.0 57.0 58.0],False,False
[1107.0],[241.0 3203.0],[29.0],[69.0 83.0],False,False
[1108.0],[2331.0 6018.0],[29.0],[13.0 58.0],False,False
[1109.0],[3305.0 3504.0 4049.0 4869.0 6086.0 6329.0 7235.0 7696.0 7708.0 9093.0],[29.0],[2.0 3.0 5.0 6.0 8.0 12.0 18.0],False,False
[1110.0],[1742.0 3265.0 4492.0 5290.0 7636.0],[29.0],[9.0 10.0 21.0 22.0 54.0],False,False
[1112.0],[1259.0 4355.0 5374.0 6985.0 8964.0],[29.0],[5.0 11.0 16.0 21.0 61.0],False,False
[1113.0],[1341.0 7238.0],[29.0],[23.0 68.0],True,False
[1114.0],[1140.0 4108.0 4932.0 5909.0 7472.0 9098.0 9938.0 11366.0],[29.0],[1.0 5.0 6.0 9.0 12.0 24.0 27.0 31.0],False,False
[1115.0],[5118.0 5639.0 7472.0 8680.0 11725.0],[29.0],[1.0 12.0 15.0],False,False
[1117.0],[467.0 6498.0 11534.0],[29.0],[4.0 8.0 49.0],False,False
[1118.0],[3107.0 5638.0 6369.0 13131.0],[29.0],[2.0 19.0 22.0 29.0],False,False
[1119.0],[702.0 4502.0 7125.0 8876.0 10394.0 11560.0 12649.0],[29.0],[1.0 3.0 12.0 17.0 19.0 21.0],False,False
[1120.0],[2621.0 7188.0 8570.0 8898.0 10172.0 11657.0 12837.0 14612.0],[29.0],[3.0 6.0 9.0 11.0 21.0],False,False
[1121.0],[3898.0 4438.0 7050.0],[29.0],[8.0 46.0],False,False
[1122.0],[5253.0 7615.0 7894.0 10920.0 12240.0 12614.0 13282.0 14864.0],[29.0],[1.0 3.0 5.0 8.0 11.0 13.0 15.0],False,False
[1123.0],[7892.0 9039.0],[29.0],[4.0 28.0],False,False
[1124.0],[508.0 8459.0 10104.0 10933.0],[29.0],[2.0 3.0 21.0 40.0],False,False
[1125.0],[8482.0],[29.0],[34.0],True,False
[1126.0],[4259.0 4482.0 9278.0 13728.0 15377.0],[29.0],[5.0 11.0 26.0 30.0 45.0],False,False
[1127.0],"[4259.0 4482.0 10118.0 11558.0 12278.0 13000.0 13728.0 15377.0 16525.0
 19272.0]",[29.0],[1.0 2.0 3.0 4.0 11.0 16.0 26.0 30.0 45.0],False,False
[1128.0],[9685.0 14613.0 15790.0],[29.0],[7.0 19.0 23.0],False,False
[1129.0],[9871.0 11268.0 11968.0 13346.0 14487.0 16917.0 17747.0 18837.0],[29.0],[1.0 2.0 7.0 9.0 15.0 18.0],False,False
[1130.0],[2963.0 5508.0 7088.0 9610.0 13262.0 17623.0],[29.0],[9.0 16.0 19.0 26.0 34.0 42.0],False,False
[1131.0],[6777.0 7712.0 11103.0 13049.0 13376.0 14525.0 17323.0 17752.0],[29.0],[3.0 6.0 7.0 8.0 10.0 11.0 12.0 15.0],False,False
[1132.0],"[11103.0 11290.0 13049.0 13361.0 13376.0 14525.0 14955.0 17292.0 17715.0
 18877.0 20224.0]",[29.0],[1.0 2.0 3.0 6.0 7.0 8.0 9.0 10.0 12.0],False,False
[1133.0],[7163.0 11722.0 14230.0],[29.0],[27.0 29.0 43.0],True,False
[1134.0],[12367.0 13875.0 17188.0 17437.0],[29.0],[2.0 3.0 21.0 39.0],False,False
[1135.0],[8597.0],[29.0],[47.0],True,False
[1136.0],[3855.0 14959.0 15386.0 18494.0 21866.0 22966.0 24083.0],[29.0],[1.0 2.0 7.0 10.0 14.0 23.0 55.0],False,False
[1137.0],[9915.0 14223.0],[29.0],[20.0 28.0],False,False
[1138.0],"[10633.0 11396.0 13951.0 13955.0 17447.0 20425.0 20827.0 21627.0 22043.0
 22050.0 22398.0 22754.0]",[29.0],[1.0 3.0 5.0 7.0 10.0 12.0 15.0 17.0 18.0],False,False
[1139.0],[6222.0 15691.0 16027.0 18064.0 19549.0 20595.0],[29.0],[5.0 8.0 12.0 20.0 37.0 44.0],False,False
[1140.0],[14965.0 15018.0 19624.0 21122.0 21903.0 22993.0 24842.0],[29.0],[1.0 3.0 9.0 10.0 18.0],False,False
[1141.0],"[6117.0 13811.0 15806.0 16631.0 17820.0 18923.0 18953.0 23028.0 23387.0
 23752.0 23769.0 24534.0 25491.0]",[29.0],[2.0 3.0 6.0 8.0 11.0 20.0 39.0],False,False
[1142.0],[8135.0 23619.0],[29.0],[14.0 49.0],False,False
[1144.0],[14857.0 16895.0 17634.0 21413.0 22909.0 24785.0 25451.0],[29.0],[2.0 9.0 11.0 13.0 14.0 26.0 27.0],False,False
[1145.0],[7903.0 17649.0],[29.0],[30.0 47.0],False,False
[1146.0],[5034.0 7585.0 23619.0 24408.0 25703.0],[29.0],[1.0 11.0 14.0 49.0 56.0],False,False
[1147.0],[8441.0 17635.0 18773.0],[29.0],[20.0 24.0 37.0],False,False
[1148.0],[20342.0 27719.0],[29.0],[5.0 30.0],True,False
[1149.0],[18506.0 21085.0 22630.0 24129.0 25209.0 26176.0 27659.0],[29.0],[5.0 7.0 8.0 9.0 13.0 15.0 19.0],False,False
[1150.0],[130.0 17597.0 28258.0],[29.0],[7.0 35.0 92.0],False,False
[1151.0],[5834.0],[29.0],[80.0],True,False
[1152.0],[11529.0 11530.0 19252.0 26897.0 28268.0 29269.0],[29.0],[1.0 4.0 6.0 22.0 44.0 55.0],False,False
[1153.0],[14186.0],[29.0],[46.0],True,False
[1154.0],[20675.0],[29.0],[31.0],True,False
[1155.0],[7638.0],[29.0],[62.0],True,False
[1156.0],[21934.0],[29.0],[29.0],True,True
[1158.0],[11759.0 12383.0 23422.0 27420.0 28133.0],[29.0],[6.0 10.0 14.0 48.0 51.0],False,False
[1159.0],"[16926.0 18823.0 20197.0 21015.0 21833.0 24058.0 24809.0 24812.0 26371.0
 27631.0 29294.0]",[29.0],[1.0 2.0 3.0 7.0 11.0 16.0 34.0],False,False
[1160.0],[21783.0 26340.0 28579.0],[29.0],[6.0 12.0 17.0],False,False
[1161.0],[18177.0 21878.0],[29.0],[3.0 35.0],True,False
[1162.0],[193.0],[28.0],[28.0],True,True
[1163.0],[317.0 3611.0 6245.0],[28.0],[6.0 7.0 18.0],True,False
[1164.0],[418.0],[28.0],[28.0],True,True
[1165.0],[483.0],[28.0],[28.0],True,True
[1166.0],[581.0 2170.0],[28.0],[4.0 25.0],True,False
[1167.0],[592.0 5776.0 6699.0],[28.0],[4.0 6.0 22.0],True,False
[1168.0],[573.0],[28.0],[28.0],True,True
[1169.0],[684.0 1965.0 2992.0 6505.0],[28.0],[12.0 24.0 35.0],False,False
[1170.0],[953.0 1006.0],[28.0],[26.0 37.0],True,False
[1171.0],[1259.0 5659.0],[28.0],[19.0 21.0],True,False
[1172.0],[524.0 2988.0 5281.0],[28.0],[8.0 9.0 20.0],True,False
