ID (GT),Track Length (GT),Track Coverage,Missing Time Points,Dino Data
1066,36.0,35,[58.0],"1979,1,44.0;4559,16,28.0;5827,28,15.0;1979,29,44.0;5827,31,15.0;1979,34,44.0;6107,35,15.0;1979,36,44.0"
1067,26.0,26,[],"3098,1,19.0;1642,3,21.0;2710,12,27.0;4038,13,47.0;2710,22,27.0"
1068,7.0,7,[],"889,1,31.0;350,7,35.0"
1069,10.0,9,[23.0],"2511,1,23.0;1504,2,44.0"
1070,5.0,5,[],"2422,1,16.0"
1071,17.0,17,[],"1696,1,23.0;4694,11,27.0;168,16,26.0;580,17,36.0"
1072,7.0,7,[],"1184,1,23.0"
1073,9.0,9,[],"2893,1,27.0"
1074,20.0,20,[],"1053,1,39.0"
1075,26.0,26,[],"2199,1,17.0;1723,6,26.0;994,18,44.0;4097,24,30.0;5956,25,22.0;1525,26,27.0"
1076,16.0,15,[35.0],"1342,1,38.0;5038,14,22.0"
1077,4.0,4,[],"5007,1,9.0"
1078,7.0,7,[],"2288,1,50.0"
1079,4.0,4,[],"3758,1,15.0"
