ID (GT),ID (Dino),Track Length (GT),Track Length (Dino),Match,Identical Match
[223],[745],[4.0],[41.0],True,False
[224],[0 560 7106 8446],[76.0],[4.0 19.0 60.0 65.0],True,False
[225],[275 816 958 1164 1165 1552 1753 1756 1757],[12.0],[5.0 6.0 9.0 10.0 20.0 21.0 29.0 62.0],False,False
[226],[806],[4.0],[14.0],True,False
[227],[537 825],[36.0],[31.0 60.0],True,False
[228],[15],[13.0],[15.0],True,False
[229],[54 470 1514 1608 1691 2028 2045 2308],[34.0],[5.0 6.0 10.0 13.0 14.0 17.0],False,False
[230],[699 1339],[6.0],[13.0 21.0],True,False
[231],[1988 2220 2620 3033],[12.0],[4.0 24.0 33.0],False,False
[232],[449],[5.0],[6.0],True,False
[233],[81],[9.0],[17.0],True,False
[234],[407 2535 2685 2725],[28.0],[8.0 12.0 18.0 25.0],False,False
[235],[327],[18.0],[19.0],True,False
[236],[260],[6.0],[7.0],True,False
[237],[2006 2512 2623 3543 4004 4622 4870],[11.0],[5.0 10.0 11.0 19.0 22.0 24.0 41.0],False,False
[238],[668],[21.0],[21.0],True,True
[239],[153 709],[7.0],[10.0 16.0],True,False
[240],[604 2788 3827],[29.0],[8.0 23.0 40.0],True,False
[241],[142 152],[7.0],[6.0 81.0],False,False
[242],[364 405 2278 5612],[50.0],[10.0 16.0 22.0 50.0],True,False
[243],[66 468 550 1014 2205],[37.0],[12.0 32.0 38.0 41.0 50.0],True,False
[244],[572],[12.0],[12.0],True,True
[245],[553 1076 1321 1984 2206],[17.0],[5.0 6.0 10.0 12.0 14.0],True,False
[246],[349],[8.0],[23.0],True,False
[247],[570 872 890 909],[21.0],[10.0 13.0 15.0 17.0],True,False
[248],[655 661 1053],[32.0],[24.0 30.0 39.0],True,False
[249],[579],[15.0],[15.0],True,True
[250],[111 681],[25.0],[13.0 25.0],False,False
[251],[120 1120],[18.0],[10.0 18.0],True,False
[252],[3777],[5.0],[9.0],True,False
[253],[242 398 453 789 1416 2254],[15.0],[6.0 10.0 11.0 19.0 41.0],False,False
[254],[411 508 622 1843 2306],[13.0],[5.0 9.0 11.0 13.0 16.0],True,False
[255],[283],[10.0],[12.0],True,False
[256],[646 656],[12.0],[5.0 27.0],True,False
[257],[828 1458],[26.0],[19.0 40.0],True,False
[258],[567],[24.0],[27.0],True,False
[259],[363],[4.0],[15.0],True,False
[260],[166],[20.0],[20.0],True,True
[261],[521 720],[17.0],[9.0 26.0],True,False
[262],[31 39 409 1851 2099],[24.0],[10.0 12.0 15.0 22.0 25.0],True,False
[263],[655],[7.0],[30.0],True,False
[264],[103 471],[4.0],[4.0 25.0],False,False
[265],[876],[10.0],[11.0],False,False
[266],[557],[4.0],[5.0],True,False
[267],[244 533 810 1444 1600],[17.0],[7.0 9.0 12.0 46.0],True,False
[268],[275],[6.0],[62.0],True,False
[269],[469],[4.0],[9.0],True,False
[270],[125 474 653 1314 1404 2407 2732 3244 3339],[42.0],[5.0 10.0 11.0 12.0 14.0 16.0 28.0],False,False
[271],[443],[13.0],[13.0],True,True
[272],[414],[20.0],[42.0],True,False
[273],[850],[6.0],[10.0],True,False
[274],[131 1909],[29.0],[41.0 47.0],True,False
[275],[562 1392],[26.0],[11.0 28.0],True,False
[276],[742 746],[10.0],[9.0 51.0],False,False
[277],[66],[12.0],[32.0],True,False
[278],[602 1022],[6.0],[8.0 13.0],True,False
[279],[74],[11.0],[33.0],True,False
[280],[677 1046],[20.0],[16.0 20.0],False,False
[281],[1460 1793 3190],[14.0],[14.0 21.0 26.0],True,False
[282],[313 841],[11.0],[10.0 11.0],True,False
[283],[169 179 711 1674],[10.0],[4.0 5.0 15.0 48.0],False,False
[284],[909 1227],[10.0],[15.0 24.0],True,False
[285],[153],[5.0],[16.0],True,False
[286],[616],[6.0],[12.0],True,False
[287],[331],[6.0],[22.0],False,False
[288],[125],[5.0],[12.0],True,False
[289],[325],[5.0],[10.0],True,False
[290],[178 1333],[20.0],[33.0 71.0],False,False
[291],[466 639 1300 2487 2965],[23.0],[4.0 6.0 9.0 10.0 17.0],False,False
[292],[528 1109],[8.0],[5.0 7.0],True,False
[293],[555],[5.0],[10.0],True,False
[294],[846],[5.0],[9.0],True,False
[295],[1131 1174 1964],[23.0],[11.0 19.0 42.0],False,False
[296],[39],[6.0],[15.0],True,False
[297],[3578 5977 7501],[34.0],[20.0 33.0 48.0],True,False
[298],[64 549 2685 2983 3829],[27.0],[7.0 9.0 12.0 29.0 49.0],True,False
[299],[525],[10.0],[16.0],True,False
[300],[424],[4.0],[47.0],True,False
[301],[426 3017],[43.0],[27.0 47.0],True,False
[302],[43],[4.0],[16.0],True,False
[303],[43 548 615],[11.0],[5.0 16.0 33.0],False,False
[304],[59 74 432 2523 2887 3240],[41.0],[11.0 15.0 16.0 20.0 33.0 73.0],True,False
[305],[479],[9.0],[12.0],True,False
[306],[484 716 763 2218],[28.0],[5.0 9.0 27.0 53.0],True,False
[307],[121 158 169 179 711 713 1102 1674],[9.0],[4.0 5.0 6.0 7.0 15.0 48.0],False,False
[308],[403 1183 1814 4860],[46.0],[11.0 15.0 35.0 54.0],True,False
[309],[637],[21.0],[26.0],True,False
[310],[97 1032],[24.0],[9.0 56.0],True,False
[311],[850 1219],[10.0],[8.0 10.0],True,False
[312],[522],[6.0],[24.0],True,False
[313],[3865 5212 5880 6234],[13.0],[6.0 7.0 10.0 30.0],True,False
[314],[437],[10.0],[16.0],True,False
[315],[494 544 840 896 1385 1551 2174],[15.0],[4.0 5.0 6.0 10.0 11.0 12.0],False,False
[316],[461],[12.0],[13.0],True,False
[317],[5099],[14.0],[22.0],True,False
[318],[139 477],[8.0],[9.0 10.0],True,False
[319],[485 527 1175 2129],[8.0],[6.0 10.0 17.0 18.0],True,False
[320],[315 571 858 1797],[13.0],[8.0 26.0 42.0],True,False
[321],[89 100 473 2018 2433 4053],[92.0],[6.0 11.0 15.0 39.0 85.0],True,False
[322],[410],[15.0],[17.0],True,False
[323],[286 351 1178 1179],[7.0],[6.0 7.0 10.0 21.0],False,False
[324],[324 977 1636 2438],[13.0],[7.0 9.0 11.0 12.0],True,False
[325],[815 2133],[12.0],[5.0 14.0],True,False
[326],[261 266 566],[22.0],[8.0 14.0 51.0],True,False
[327],[336],[15.0],[29.0],True,False
[328],[286 318 351 1178 1179 1386],[10.0],[4.0 6.0 7.0 10.0 11.0 21.0],False,False
[329],[195],[5.0],[18.0],True,False
[330],[289 859 867 1410 1568 2076 2082 2180 2556 2811 3073 3423],[55.0],[5.0 6.0 10.0 15.0 16.0 17.0 20.0 22.0 23.0 47.0],False,False
[331],[485 527 1170 1654 1913 2918 4836],[84.0],[10.0 14.0 17.0 23.0 36.0 41.0 56.0],True,False
[332],[17 34 2197 2613 2615 3473 3476 3731],[35.0],[6.0 8.0 13.0 17.0 22.0 26.0 42.0 63.0],True,False
[333],[549],[11.0],[49.0],True,False
[334],[1818 2324],[20.0],[6.0 22.0],True,False
[335],[544 1948 2579 2772],[4.0],[5.0 9.0 12.0 45.0],False,False
[336],[442],[17.0],[19.0],True,False
[337],[289 297],[10.0],[5.0 16.0],True,False
[338],[2839],[10.0],[13.0],True,False
[339],[355],[7.0],[8.0],True,False
[340],[432 465],[7.0],[15.0 38.0],True,False
[341],[316 2180],[17.0],[10.0 26.0],True,False
[342],[490 564 565],[12.0],[10.0 12.0 68.0],True,False
[343],[395 3300],[22.0],[24.0 35.0],True,False
[344],[289 867 869 1926 3073],[19.0],[11.0 13.0 16.0 22.0 47.0],False,False
[345],[566],[5.0],[51.0],True,False
[346],[358 460 891],[5.0],[10.0 11.0 13.0],True,False
[347],[99 674],[11.0],[9.0 15.0],False,False
