ID (GT),ID (Dino),x (GT),y (GT),z (GT),x (Dino),y (Dino),z (Dino),t,t_start (GT),t_start (Dino),FI (GT),FI (Dino),Track Length (GT),Track Length (Dino),Feature 0,Feature 1,Feature 2,Distance,Multi ID (Dino),Multi Distance (Dino)
5,767,423.455,346.182,5.545,423.49884,346.17847,4.125005,22.0,0.0,0.0,1.0,3.777,34.0,25.0,9.02,-0.3713,-0.02045,1.4206759681662104,767,1.42
5,767,424.182,346.636,5.545,424.40582,346.65274,4.654131,23.0,0.0,0.0,1.0,4.664,34.0,25.0,8.836,0.5913,-0.067,0.9187073501180857,767,0.92
5,767,423.818,345.909,5.727,424.1025,345.6223,4.590504,24.0,0.0,0.0,1.0,3.088,34.0,25.0,7.56,-0.8433,-0.1063,1.2061344444198663,767,1.21
5,767,423.091,346.091,5.909,423.19165,346.06104,4.490106,25.0,0.0,0.0,1.0,3.828,34.0,25.0,9.09,-0.7407,1.055,1.4227748266454519,767,1.42
5,767,423.545,347.273,6.091,423.55988,347.34998,4.8906827,26.0,0.0,0.0,1.0,4.04,34.0,25.0,7.45,-0.9453,0.3284,1.2028752867522423,767,1.20
5,767,419.091,351.727,6.636,418.9775,351.6803,5.5603557,27.0,0.0,0.0,1.0,3.898,34.0,25.0,7.273,-3.123,-0.4456,1.0826235726800368,767,1.08
5,767,420.909,351.273,6.818,420.422,351.48593,5.851378,28.0,0.0,0.0,1.0,4.402,34.0,25.0,5.06,-1.605,-0.1296,1.103116619303668,767,1.10
5,767,420.636,351.545,7.0,420.41397,351.42297,5.8577437,29.0,0.0,0.0,1.0,3.703,34.0,25.0,6.992,-4.242,0.03177,1.1700162805233507,767,1.17
5,2777,415.364,355.636,7.364,415.46463,355.63968,5.931513,30.0,0.0,14.0,1.0,5.316,34.0,13.0,7.617,-2.246,-0.006264,1.4360219164305972,2777,1.44
5,4025,412.091,359.091,7.818,412.1308,359.0436,6.260322,31.0,0.0,26.0,1.0,4.53,34.0,4.0,5.38,-2.438,-0.341,1.5589071658325255,4025,1.56
5,4247,407.455,361.636,8.091,407.3796,361.5846,6.328826,32.0,0.0,29.0,1.0,2.863,34.0,42.0,6.62,-2.264,-0.04242,1.764535158696476,4247,1.76
5,4025,402.727,362.273,7.818,402.5446,362.4026,6.3028326,33.0,0.0,26.0,1.0,4.207,34.0,4.0,11.32,-1.773,-0.6216,1.5315998726895819,4025,1.53
6,445,141.727,244.727,3.545,141.72816,244.9996,2.9859283,0.0,0.0,0.0,1.0,3.535,11.0,34.0,6.89,0.7944,0.5063,0.6219913756161581,445,0.62
6,445,136.545,246.091,3.273,136.39522,245.91824,2.2689688,1.0,0.0,0.0,1.0,3.05,11.0,34.0,4.984,0.00872,-0.0625,1.0297372075308542,445,1.03
6,445,132.364,247.636,3.0,132.26538,247.42871,2.355352,2.0,0.0,0.0,1.0,2.62,11.0,34.0,7.04,-0.571,0.4949,0.6842997094870072,445,0.68
6,445,128.273,247.545,2.727,128.22061,247.6051,1.8138989,3.0,0.0,0.0,1.0,3.361,11.0,34.0,8.66,1.022,-0.4312,0.9165753329220738,445,0.92
6,445,124.091,246.545,2.182,124.29682,246.264,1.5581577,4.0,0.0,0.0,1.0,4.164,11.0,34.0,5.36,2.426,-0.38,0.7144942880592388,445,0.71
6,445,119.818,244.545,1.818,119.95512,244.62561,1.4019098,5.0,0.0,0.0,1.0,2.816,11.0,34.0,6.41,1.904,-0.4631,0.44545585756171174,445,0.45
6,445,115.364,243.182,1.364,115.84077,242.98944,1.386886,6.0,0.0,0.0,1.0,2.87,11.0,34.0,6.97,3.14,-0.3516,0.514696760720326,445,0.51
6,445,112.273,242.727,0.909,112.25071,243.06013,1.2511014,7.0,0.0,0.0,1.0,2.607,11.0,34.0,8.67,2.137,-0.3518,0.47802281209367875,445,0.48
6,445,111.091,242.727,0.636,111.233475,242.57146,1.1123317,8.0,0.0,0.0,1.0,3.143,11.0,34.0,8.71,3.965,-0.649,0.520945012117298,445,0.52
6,445,109.364,243.273,0.091,109.33368,243.39749,1.0010266,9.0,0.0,0.0,1.0,1.896,11.0,34.0,6.0,3.238,0.693,0.9190024348213461,445,0.92
6,445,109.273,243.818,-0.545,109.44547,243.46875,0.5705649,10.0,0.0,0.0,1.0,2.297,11.0,34.0,3.518,4.33,-0.4707,1.1816118269177998,445,1.18
7,4766,236.455,228.091,9.455,236.36604,227.98361,7.0797734,47.0,47.0,34.0,1.0,2.275,4.0,24.0,3.654,-1.404,-0.1018,2.379316686582004,4766,2.38
