ID (Dino),Track Length (Dino),Track Coverage,Missing Time Points,CME Data
3436.0,57.0,0,"[14.0, 16.0, 19.0, 23.0, 31.0, 50.0, 52.0, 53.0, 54.0, 55.0, 60.0, 62.0, 65.0, 66.0, 67.0, 68.0, 69.0, 70.0, 71.0, 72.0, 73.0, 74.0, 75.0, 76.0, 77.0, 78.0]","272.0,1,51.00349320848519;3444.0,3,42.8052838137221;272.0,5,44.8359768955637;468.0,6,4.364962055413517;367.0,8,13.69686184605798;9014.0,11,22.01362228454231;367.0,12,12.012620919786812;1022.0,13,4.093109874911745;367.0,21,10.917161579865908;1022.0,23,10.806494272006075"
3437.0,8.0,0,"[14.0, 15.0]","4853.0,1,28.25525767130252;1418.0,2,16.90380013743952"
3438.0,45.0,0,"[14.0, 15.0, 16.0, 21.0, 34.0, 35.0, 36.0, 37.0, 38.0, 39.0, 41.0, 42.0, 44.0, 45.0, 46.0, 56.0, 65.0, 67.0, 69.0]","468.0,1,33.26816358955509;1418.0,3,43.69776407238593;3444.0,4,31.90764190903957;367.0,5,30.718427589656983;795.0,9,29.12513133817078;5001.0,11,19.923020792259337;6881.0,12,26.129130283239476;795.0,16,8.818819240947175;272.0,17,7.113849576734082;1205.0,19,10.663943391744198"
3439.0,26.0,0,"[14.0, 26.0, 27.0, 28.0, 29.0, 30.0, 32.0, 33.0, 34.0, 35.0, 37.0, 42.0, 43.0, 44.0, 45.0, 46.0, 47.0, 48.0, 49.0, 51.0, 52.0, 53.0, 54.0, 55.0, 56.0, 57.0, 58.0, 59.0, 61.0, 76.0, 77.0]","1327.0,1,65.21942985362031;1418.0,2,7.963151469085595;2216.0,12,6.849069036511457;5572.0,13,5.691930347272348;8941.0,20,7.778218654171386;2216.0,22,10.175549550613942;2416.0,25,6.319870422983384;4239.0,30,11.396356365961893;966.0,31,16.976391014620884"
3440.0,28.0,2,"[14.0, 19.0, 30.0, 31.0, 32.0, 33.0, 38.0, 65.0, 68.0]","1173.0,1,19.34667291316518;2531.0,3,18.36326428607943;6794.0,4,15.09895612059655;4090.0,6,12.985375062011116;7745.0,7,15.98593674554606;2821.0,8,4.268142549228622"
3441.0,4.0,8,"[15.0, 19.0, 48.0, 49.0]","7473.0,1,2.122670065889891;4864.0,2,11.971877485377952;8605.0,3,10.922329082553798;6829.0,4,1.573156055736385;3007.0,9,2.011486990860245"
3442.0,19.0,0,"[14.0, 15.0]","2030.0,1,22.82630156596115;7515.0,2,15.254797028505498"
3443.0,20.0,0,[14.0],"1912.0,1,25.180409065600976"
3444.0,28.0,0,"[14.0, 21.0, 26.0, 54.0, 56.0, 57.0, 58.0, 59.0]","1175.0,1,15.944223605117903;653.0,2,15.51091282069821;1175.0,3,16.736188782467753;370.0,4,18.08666529222014;1125.0,5,19.95628654119048;796.0,7,25.30938114955009;292.0,8,19.495825741032068"
3445.0,78.0,64,[],"103.0,1,1.9865870822314755"
3446.0,14.0,2,"[14.0, 17.0, 18.0, 48.0, 49.0, 50.0, 51.0, 52.0, 53.0, 54.0, 55.0, 56.0, 57.0, 58.0, 59.0, 60.0]","2924.0,1,4.567239337608653;776.0,2,11.168892013514858;2325.0,3,8.888442657551511;3772.0,4,1.9154377656295647;10088.0,6,17.85780897773042;308.0,7,19.482439590503034;1073.0,9,13.417772668245805"
