,0,1,2,3
855,9,533,2.09,64.0
856,9,533,1.63,65.0
857,9,533,1.87,66.0
858,9,533,1.87,67.0
859,9,533,1.72,68.0
860,9,533,1.59,69.0
861,9,533,1.75,70.0
862,9,533,1.71,71.0
863,9,533,1.61,72.0
864,9,533,1.62,73.0
865,9,533,1.90,74.0
866,9,533,1.88,75.0
867,9,533,1.41,76.0
868,9,533,1.49,77.0
869,9,"533,31984","3.52,1.86",78.0
870,9,"533,31984","3.84,1.96",79.0
871,9,533,1.33,80.0
872,9,533,1.79,81.0
873,9,533,1.81,82.0
874,9,533,1.84,83.0
875,9,533,1.79,84.0
876,9,533,1.84,85.0
877,9,533,1.96,86.0
878,9,533,1.76,87.0
879,9,533,1.98,88.0
880,9,533,1.71,89.0
881,9,533,2.09,90.0
882,9,533,1.66,91.0
883,9,533,2.28,92.0
884,9,533,2.37,93.0
885,9,"533,36125","3.83,2.77",94.0
886,9,533,2.13,95.0
887,9,533,2.06,96.0
888,9,533,2.13,97.0
889,9,"533,36125","2.58,4.44",98.0
890,9,533,2.20,99.0
891,10,565,2.40,1.0
892,10,565,2.05,2.0
893,10,565,1.77,3.0
894,10,565,1.69,4.0
895,10,565,1.67,5.0
896,10,565,1.70,6.0
897,10,565,1.59,7.0
898,10,565,1.63,8.0
899,10,565,1.73,9.0
900,10,"4145,565","2.92,2.22",10.0
901,10,565,1.81,11.0
902,10,565,1.88,12.0
903,10,"4145,565","2.40,3.19",13.0
904,10,4145,1.70,14.0
905,10,4145,2.26,15.0
