ID (CME),Missing Time Points,ID (Dino),x (CME),y (CME),z (CME),x (Dino),y (Dino),z (Dino),t,t_start (CME),t_start (Dino),FI (CME),FI (Dino),Track Length (CME),Track Length (Dino),Distance
30.0,7,712.0,415.33,162.47,83.335,397.31213,161.27878,85.75836,7.0,1.0,1.0,65.582,174.66573,99.0,16.0,18.219092132016307
30.0,8,712.0,414.9,162.9,83.193,397.54062,161.73628,85.73343,8.0,1.0,1.0,66.83,146.13016,99.0,16.0,17.58283545983695
30.0,9,712.0,414.2,164.26,82.806,396.98227,162.01607,85.82364,9.0,1.0,1.0,56.332,290.8314,99.0,16.0,17.62360914703338
30.0,10,712.0,414.6,164.55,83.373,398.03864,162.69499,86.405754,10.0,1.0,1.0,61.365,153.12564,99.0,16.0,16.93863347422741
30.0,11,712.0,413.34,165.77,82.984,397.86984,163.38425,86.9874,11.0,1.0,1.0,65.876,174.90616,99.0,16.0,16.15688290011718
30.0,12,2675.0,413.78,165.65,82.555,404.60452,148.53642,76.287476,12.0,1.0,5.0,70.865,272.02164,99.0,16.0,20.404556126938328
30.0,13,2208.0,413.88,166.08,83.727,397.5407,153.85526,86.79122,13.0,1.0,3.0,59.098,110.012764,99.0,47.0,20.635077823114695
30.0,14,4464.0,410.93,169.31,84.614,407.42474,171.7702,98.11687,14.0,1.0,11.0,44.209,341.3646,99.0,10.0,14.165695533382754
30.0,15,712.0,411.02,169.51,84.636,397.8505,164.3095,87.1739,15.0,1.0,1.0,40.338,268.04938,99.0,16.0,14.384779001083022
30.0,16,4464.0,411.37,169.64,84.147,406.77405,171.58752,98.428154,16.0,1.0,11.0,53.298,220.54161,99.0,10.0,15.128349220077393
30.0,17,4464.0,410.31,170.97,86.294,407.09265,172.76245,98.48612,17.0,1.0,11.0,40.467,162.25299,99.0,10.0,12.736247803784291
30.0,18,712.0,411.42,169.85,84.802,398.0989,165.06659,86.27491,18.0,1.0,1.0,63.146,215.2156,99.0,16.0,14.230326078702484
30.0,19,712.0,411.75,169.77,83.498,398.3478,165.06851,85.654305,19.0,1.0,1.0,80.258,151.99673,99.0,16.0,14.36567521257267
30.0,20,7666.0,411.82,168.91,83.627,413.44876,165.42055,79.691154,20.0,1.0,20.0,77.923,147.00102,99.0,2.0,5.506360338355638
30.0,21,4464.0,412.51,168.45,83.212,407.45987,173.44087,97.3024,21.0,1.0,11.0,78.617,168.23425,99.0,10.0,15.778211829412092
30.0,22,7688.0,412.44,168.5,84.048,409.41168,166.42523,93.57055,22.0,1.0,20.0,74.313,168.49794,99.0,8.0,10.205603905590298
30.0,23,7666.0,412.67,169.59,83.862,413.52203,166.73819,78.92445,23.0,1.0,20.0,80.238,141.90967,99.0,2.0,5.765255883263114
30.0,24,7688.0,412.66,168.57,85.144,408.95795,166.20657,92.930916,24.0,1.0,20.0,74.519,141.79578,99.0,8.0,8.94019218800447
30.0,25,7688.0,413.07,169.85,82.917,409.99817,166.56595,93.99957,25.0,1.0,20.0,74.732,180.16515,99.0,8.0,11.960120474154932
30.0,26,7972.0,412.82,170.04,81.955,409.14178,182.54851,96.26476,26.0,1.0,21.0,78.237,216.00629,99.0,9.0,19.358753990019604
30.0,27,7972.0,413.04,170.18,81.257,409.0179,183.15904,96.604805,27.0,1.0,21.0,87.428,206.15427,99.0,9.0,20.498484969617262
30.0,28,7972.0,413.35,170.58,81.233,408.40314,182.57222,96.324,28.0,1.0,21.0,89.654,168.97226,99.0,9.0,19.900327770868483
30.0,29,2208.0,413.41,170.67,81.643,396.2872,158.93787,86.30242,29.0,1.0,3.0,88.137,220.98843,99.0,47.0,21.2730662790605
30.0,30,10444.0,412.67,171.35,81.002,412.27353,168.40704,77.43981,30.0,1.0,30.0,89.837,236.89082,99.0,19.0,4.637607100499138
30.0,32,10444.0,413.94,171.54,81.984,414.02905,169.17377,79.06474,32.0,1.0,30.0,91.379,137.8288,99.0,19.0,3.758863294002586
30.0,34,10444.0,415.62,171.39,82.187,415.2506,169.76373,78.842865,34.0,1.0,30.0,103.12,135.21399,99.0,19.0,3.7369037144573145
30.0,46,14762.0,414.45,177.38,80.161,413.652,173.99937,80.68365,46.0,1.0,43.0,76.232,209.16727,99.0,4.0,3.5126380712222516
30.0,51,10437.0,413.24,181.36,79.136,404.0321,170.14902,70.73111,51.0,1.0,30.0,47.911,161.26108,99.0,40.0,16.766444789593887
30.0,52,10437.0,413.66,182.48,78.888,404.72385,170.88193,71.758865,52.0,1.0,30.0,47.003,152.10439,99.0,40.0,16.284795681727925
30.0,53,10437.0,413.23,183.14,78.539,404.25992,172.42941,71.05183,53.0,1.0,30.0,44.027,165.0655,99.0,40.0,15.85045071798906
30.0,54,10437.0,413.04,184.34,78.04,404.03833,173.3667,71.2016,54.0,1.0,30.0,38.89,142.07477,99.0,40.0,15.754589497632136
30.0,55,10437.0,415.23,185.53,79.225,403.28622,174.07411,68.87367,55.0,1.0,30.0,37.845,126.23676,99.0,40.0,19.520279945466974
30.0,56,18155.0,417.09,187.46,81.026,430.30936,197.17249,94.242455,56.0,1.0,53.0,32.595,173.41147,99.0,5.0,21.065579118000215
30.0,57,18155.0,417.79,190.4,81.308,429.27832,197.82555,92.520096,57.0,1.0,53.0,33.742,150.28517,99.0,5.0,17.687040055874675
30.0,62,23731.0,416.1,195.29,78.337,399.91574,204.92157,85.02531,62.0,1.0,62.0,42.086,143.00757,99.0,8.0,19.985767512622576
